beat,label,text,start_seconds,end_seconds,start_frame,end_frame,duration_frames
1,"We've all prayed before. In fact,…","We've all prayed before. In fact, for most of us, it has become our way of life.",0.0,5.46,0,164,164
2,Yet we pray like God is…,"Yet we pray like God is somewhere far above us, and the goal of prayer is to somehow close that distance.",6.14,13.16,184,395,211
3,We think we need to pray…,"We think we need to pray loud enough, maybe long enough, and with enough faith, He may hear us.",14.2,20.44,426,613,187
4,But what if that picture is…,But what if that picture is completely wrong?,21.34,24.1,640,723,83
5,"You see, Paul writes something in…","You see, Paul writes something in 1 Corinthians 6 verse 19. He says, Do you not know that your body is a temple of the Holy Spirit within you?",24.86,36.58,746,1097,351
6,Paul didn't say God visits when…,"Paul didn't say God visits when you worship, or that God comes near when you pray hard enough. He says your body is a temple. A dwelling place. God is already inside you.",37.4,51.24,1122,1537,415
7,But here is what makes that…,But here is what makes that bigger than it sounds.,51.24,54.88,1537,1646,109
8,"In Greek, there were two words…","In Greek, there were two words for the Temple in Jerusalem. The first one was hieron — and hieron means the whole complex, the outer courts or the public areas anyone could enter. But Paul does not use that word. What he uses is naos.",56.38,77.32,1691,2320,629
9,"Now, naos means the inner sanctuary,…","Now, naos means the inner sanctuary, the Holy of Holies. The one room so sacred that only one person on earth was permitted to enter it — the high priest — and only once a year. The high priest entered with bells on his robe so people outside could hear he was still moving, and a rope tied to his ankle so they could pull him out if he died in there.",78.38,104.26,2351,3128,777
10,That room. Paul says that room…,That room. Paul says that room is now you. In you.,105.12,110.88,3154,3326,172
11,The most sacred space in the…,"The most sacred space in the entire Jewish world — the room where God's presence lived, the same room people died for entering wrongly — is now inside every believer.",111.84,125.38,3355,3761,406
12,"In John 4, we see Jesus…","In John 4, we see Jesus sitting at a well talking to a Samaritan woman. The woman then asks Him a question that her entire community had been arguing about for generations. She says, our fathers worshiped on this mountain, but you Jews say Jerusalem is the place. Where is the right place to meet God? Which location? Which mountain?",126.88,151.8,3806,4554,748
13,And Jesus says something profound. The…,And Jesus says something profound. The time is coming — and it is already here — when true worshippers will worship the Father in spirit and truth. Not on a mountain or a city. But in spirit.,152.9,168.32,4587,5050,463
14,The word spirit is pneuma in…,"The word spirit is pneuma in Greek and ruach in Hebrew, and it did not mean feelings or emotions to the people Jesus was speaking to. It meant the breath of God. The living presence of God. The same breath that hovered over the waters in Genesis 1 before anything existed. So in essence, Jesus was saying that the location of God is no longer a building, but his own presence living inside people.",169.74,203.8,5092,6114,1022
15,And then He proved it.,And then He proved it.,204.46,206.73,6134,6202,68
16,"In Matthew 27 verse 51, the…","In Matthew 27 verse 51, the moment Jesus died on the cross, the veil of the Temple tore in two. From top to bottom. That veil was the barrier between the outer courts and the Holy of Holies.",208.0,223.2,6240,6696,456
17,It did not tear from the…,It did not tear from the bottom up. It did not tear because of a crowd or an earthquake. It tore from the top down. Something on the other side opened it. And what was behind that veil — the presence of God — was no longer contained in one room or building.,224.24,245.62,6727,7369,642
18,"So when you pray, you are…","So when you pray, you are not sending a message to someone far away and hoping it arrives. You are turning your attention toward someone who has never left the room. Who is closer to you than your own heartbeat.",245.62,260.24,7369,7807,438
19,Which raises the question I really…,"Which raises the question I really want you to sit with. If God is that close, and if the same presence that filled the Holy of Holies is actually living inside you — why does He feel so far away most of the time?",262.06,278.82,7862,8365,503
20,The Jewish prayer tradition has a…,The Jewish prayer tradition has a word that gets closer to the real answer. That word is kavanah. And it means direction. The orientation of your heart toward the one you are talking to. The rabbis said prayer without kavanah was like a body without a soul.,280.08,300.38,8402,9011,609
21,So you could say all the…,"So you could say all the right words, be in the right position and the right building, and still be completely turned away from the person you are supposedly talking to.",301.18,312.68,9035,9380,345
22,That is what most of us…,That is what most of us do without realising it. We perform prayer instead of practicing presence. We talk toward God instead of actually talking to God. And then we wonder why nothing feels real.,314.4,330.46,9432,9914,482
23,The veil is already torn. The…,The veil is already torn. The naos — the Holy of Holies — is already inside you. The presence that the high priest trembled before is not behind a curtain anymore. It is in you. Right now. In this moment. Whether you feel it or not.,331.64,352.14,9949,10564,615
24,The only question is are you…,The only question is — are you turned toward it?,352.94,356.52,10588,10696,108
25,"So before your next prayer, stop…","So before your next prayer, stop before you say anything. Remember where you are. You are not trying to reach someone far away. You are turning toward someone who has been present inside the very place you keep forgetting to look.",357.58,375.18,10727,11255,528
